difficulty,threads,millisecond,latency
1,1,0.003000,0.000030
1,11,3.839000,0.038390
1,21,4.913000,0.049130
1,31,8.839000,0.088390
1,41,13.193000,0.131930
1,51,16.797000,0.167970
1,61,21.781000,0.217810
1,71,31.501000,0.315010
1,81,40.714000,0.407140
1,91,48.772000,0.487720
2,1,0.001000,0.000010
2,11,2.520000,0.025200
2,21,4.870000,0.048700
2,31,9.329000,0.093290
2,41,12.750000,0.127500
2,51,16.665000,0.166650
2,61,24.440000,0.244400
2,71,29.014000,0.290140
2,81,44.198000,0.441980
2,91,47.813000,0.478130
3,1,2.001000,0.002010
3,11,2.645000,0.026450
3,21,4.735000,0.047350
3,31,7.949000,0.079490
3,41,12.992000,0.129920
3,51,18.198000,0.181980
3,61,26.942000,0.269420
3,71,32.482000,0.324820
3,81,39.626000,0.396260
3,91,51.752000,0.517520
