difficulty,threads,millisecond,latency
1,1,0.001000,0.001000
1,10,2.452000,0.245200
1,20,4.854000,0.242700
1,30,7.961000,0.265367
1,40,12.318000,0.307950
1,50,15.860000,0.317200
1,60,24.255000,0.404250
1,70,31.778000,0.453971
1,80,38.274000,0.478425
1,90,49.017000,0.544633
1,100,74.706000,0.747060
2,1,0.000000,0.000000
2,10,2.000000,0.100000
2,20,4.363000,0.218150
2,30,7.901000,0.263367
2,40,13.122000,0.328050
2,50,16.719000,0.334380
2,60,25.268000,0.421133
2,70,29.667000,0.423814
2,80,40.734000,0.509175
2,90,64.303000,0.714478
2,100,59.867000,0.598670
3,1,0.001000,0.001000
3,10,2.458000,0.245800
3,20,6.026000,0.301300
3,30,9.644000,0.321467
3,40,15.556000,0.388900
3,50,20.045000,0.400900
3,60,25.831000,0.430517
3,70,33.514000,0.478771
3,80,43.940000,0.549250
3,90,70.457000,0.782856
3,100,73.679000,0.736790
