difficulty,threads,millisecond,latency
1,1,0.001000,0.001000
1,10,3.020000,0.302000
1,20,3.993000,0.199650
1,30,6.351000,0.211700
1,40,10.335000,0.258375
1,50,14.199000,0.283980
1,60,17.049000,0.284150
1,70,22.084000,0.315486
1,80,27.414000,0.342675
1,90,43.078000,0.478644
1,100,42.878000,0.428780
2,1,0.000000,0.000000
2,10,1.707000,0.170700
2,20,3.805000,0.190250
2,30,6.367000,0.212233
2,40,9.131000,0.228275
2,50,14.288000,0.285760
2,60,18.334000,0.305567
2,70,23.473000,0.335329
2,80,27.350000,0.341875
2,90,34.822000,0.386911
2,100,41.549000,0.415490
3,1,0.000000,0.000000
3,10,1.751000,0.175100
3,20,4.346000,0.217300
3,30,6.934000,0.231133
3,40,9.565000,0.239125
3,50,13.455000,0.269100
3,60,16.784000,0.279733
3,70,22.476000,0.321086
3,80,27.461000,0.343262
3,90,42.935000,0.477056
3,100,50.352000,0.503520
